category,quant,backend,graphs,dflash_n_max,workload,prompt_tokens,output_tokens,tokens_per_second,stddev,accepted_drafts,total_drafts,result,notes
baseline,17gb,ROCm 7.14,off,0,pp2048,2048,0,427.939,2.642,,,pass,"three repetitions"
baseline,17gb,ROCm 7.14,off,0,tg128,0,128,12.4284,0.0032,,,pass,"three repetitions"
baseline,17gb,ROCm 7.14,on,0,pp2048,2048,0,424.567,,,,pass,"HIP graph control"
baseline,17gb,ROCm 7.14,on,0,tg128,0,128,12.4158,,,,pass,"HIP graph control"
baseline,17gb,Vulkan,n/a,0,pp2048,2048,0,240.509,,,,pass,"three repetitions"
baseline,17gb,Vulkan,n/a,0,tg128,0,128,12.9610,,,,pass,"three repetitions"
baseline,dynamic,ROCm 7.14,off,0,pp2048,2048,0,434.593,1.785,,,pass,"three repetitions"
baseline,dynamic,ROCm 7.14,off,0,tg128,0,128,10.5938,0.0013,,,pass,"three repetitions"
baseline,dynamic,ROCm 7.14,on,0,pp2048,2048,0,433.544,,,,pass,"HIP graph control"
baseline,dynamic,ROCm 7.14,on,0,tg128,0,128,10.5767,,,,pass,"HIP graph control"
baseline,dynamic,Vulkan,n/a,0,pp2048,2048,0,216.120,,,,pass,"three repetitions"
baseline,dynamic,Vulkan,n/a,0,tg128,0,128,10.7792,,,,pass,"three repetitions"
speculative,17gb,ROCm 7.14,off,3,favourable-integer-mean,,256,19.836,,,,pass,"mean of 17.782 21.566 and 20.160"
speculative,17gb,ROCm 7.14,off,15,favourable-integer-mean,,256,42.3747,,,,pass,"mean of 40.073 39.741 and 47.310"
speculative,17gb,ROCm 7.14,off,15,coding,,512,34.852,,411,1480,pass,"representative task"
speculative,17gb,ROCm 7.14,off,15,b-tree-explanation,,512,17.379,,309,2996,pass,"representative task"
speculative,17gb,ROCm 7.14,off,15,postgresql-checklist,,512,18.136,,318,2823,pass,"representative task"
speculative,17gb,ROCm 7.14,off,15,representative-three-task-mean,,512,23.4557,,,,pass,"coding B-tree and PostgreSQL mean"
speculative,dynamic,ROCm 7.14,off,15,favourable-integer,,256,43.870,,,,pass,"single run"
speculative,dynamic,ROCm 7.14,off,15,coding,,512,31.029,,,,pass,"single run"
speculative,dynamic,ROCm 7.14,off,15,b-tree-explanation,,512,17.678,,,,pass,"single run"
context,dynamic,ROCm 7.14,off,0,passkey,1086,,,,,,pass,"exact retrieval"
context,dynamic,ROCm 7.14,off,0,passkey,2586,,,,,,pass,"exact retrieval"
context,dynamic,ROCm 7.14,off,0,passkey,4086,,,,,,pass,"exact retrieval"
context,dynamic,ROCm 7.14,off,0,passkey,6037,,,,,,fail,"repeated output and parser HTTP 500"
context,dynamic,ROCm 7.14,off,0,passkey,8086,,,,,,fail,"passkey not retrieved"
context,dynamic,ROCm 7.14,off,0,passkey,32089,,382.74,,,,fail,"full prompt processed but passkey not retrieved"
context,dynamic,Vulkan,n/a,0,passkey,8000,,198.589,,,,pass,"exact HALO-MUSE-VULKAN-8000; generation 10.707 tok/s"
context,dynamic,Vulkan,n/a,15,passkey,8000,,194.853,,,,pass,"exact HALO-MUSE-VK-DFLASH-8000; generation 6.960 tok/s"
vision,dynamic,ROCm 7.14,off,15,first-image-gtt-delta,,,,,,,pass,"0.338 GiB or approximately 346 MiB retained"
vision,dynamic,ROCm 7.14,off,15,prefill-before-image,10016,,390.52,,,,pass,"CUDA first-image slowdown control"
vision,dynamic,ROCm 7.14,off,15,prefill-after-image,10016,,400.91,,,,pass,"no prefill collapse reproduced"
