run_id,build,build_commit,depth_tokens,prompt_tokens,batch_tokens,ubatch_tokens,launches,samples,median_prompt_tokens_per_second,mean_prompt_tokens_per_second,stddev_prompt_tokens_per_second,coefficient_of_variation_pct,minimum_prompt_tokens_per_second,p05_prompt_tokens_per_second,p95_prompt_tokens_per_second,maximum_prompt_tokens_per_second
20260826T055054+0100,current-b10635,b576dc7dc,0,2048,2048,512,2,10,924.755,921.6848,16.442992,1.784015,899.444,899.5016,940.38415,943.99
20260826T055054+0100,current-b10635,b576dc7dc,0,2048,2048,2048,2,10,943.9455,940.1342,48.18675,5.125518,887.952,888.59955,989.2364,990.923
20260826T055054+0100,current-b10635,b576dc7dc,16384,2048,2048,512,2,10,661.3205,661.958,4.883543,0.737742,655.336,655.88455,669.14955,670.914
20260826T055054+0100,current-b10635,b576dc7dc,16384,2048,2048,2048,2,10,756.074,750.3663,16.539365,2.204172,728.198,728.97695,766.5664,767.182
20260826T055054+0100,current-b10635,b576dc7dc,32768,2048,2048,512,2,10,533.4895,532.8197,2.410474,0.452399,529.856,529.9064,536.3197,536.38
20260826T055054+0100,current-b10635,b576dc7dc,32768,2048,2048,2048,2,10,635.2825,630.7619,12.256678,1.943155,610.456,612.19165,642.62805,643.722
20260826T055054+0100,patched-b10641,28a3e60,0,2048,2048,512,2,10,972.9555,976.1426,9.109584,0.933223,966.427,966.8266,989.7503,989.915
20260826T055054+0100,patched-b10641,28a3e60,0,2048,2048,2048,2,10,1359.56,1361.039,9.475493,0.696196,1348.41,1348.6935,1373.645,1374.05
20260826T055054+0100,patched-b10641,28a3e60,16384,2048,2048,512,2,10,695.099,695.107,3.084127,0.443691,689.518,690.4063,699.04895,699.62
20260826T055054+0100,patched-b10641,28a3e60,16384,2048,2048,2048,2,10,994.8115,994.6534,3.139757,0.315663,987.737,989.9042,997.9711,998.242
20260826T055054+0100,patched-b10641,28a3e60,32768,2048,2048,512,2,10,551.495,550.5084,3.00098,0.545129,545.023,546.0013,553.5653,553.901
20260826T055054+0100,patched-b10641,28a3e60,32768,2048,2048,2048,2,10,789.688,789.4036,2.701997,0.342283,783.006,785.05125,792.2526,792.645
