mode,arm,workload,samples,median_prompt_tps,median_decode_tps,drafted,accepted,acceptance,valid,min_mem_available_gib,max_gtt_gib,max_vram_gib,major_faults_delta,swapin_pages_delta,swapout_pages_delta
greedy,iq4pair-rocm-pretopk-pm4off-n3-pmin01,512,2,239.0743828938407,27.341183420827484,,,0.535042735042735,True,93.65754699707031,24.95183563232422,0.16033935546875,361,769,0
greedy,iq4pair-rocm-pretopk-pm4off-n3-pmin01,8192,2,361.51275243448475,25.202640914862222,,,0.5236486486486487,True,93.65754699707031,24.95183563232422,0.16033935546875,361,769,0
greedy,iq4pair-rocm-pretopk-pm4off-n3-pmin01,31497,2,298.86445770807745,23.505838420446942,,,0.6179775280898876,True,93.65754699707031,24.95183563232422,0.16033935546875,361,769,0
greedy,iq4pair-rocm-topk-pm4off-n3-pmin01,512,2,240.8331083173869,27.32215032606244,,,0.535042735042735,True,93.38236236572266,24.95203399658203,0.16036605834960938,70,116,0
greedy,iq4pair-rocm-topk-pm4off-n3-pmin01,8192,2,361.3652419066802,25.18550258484053,,,0.5236486486486487,True,93.38236236572266,24.95203399658203,0.16036605834960938,70,116,0
greedy,iq4pair-rocm-topk-pm4off-n3-pmin01,31497,2,298.9180496333578,24.02439303475544,,,0.6398467432950191,True,93.38236236572266,24.95203399658203,0.16036605834960938,70,116,0
greedy,iq4pair-rocm-topk-pm4on-n3-pmin01,512,2,313.4063119912488,28.628535701008577,,,0.535042735042735,True,93.26874160766602,24.955196380615234,0.16037750244140625,182,772,0
greedy,iq4pair-rocm-topk-pm4on-n3-pmin01,8192,2,369.74868145515313,26.363540018941947,,,0.5514834205933682,True,93.26874160766602,24.955196380615234,0.16037750244140625,182,772,0
greedy,iq4pair-rocm-topk-pm4on-n3-pmin01,31497,2,299.83799585667737,24.86803250593304,,,0.6398467432950191,True,93.26874160766602,24.955196380615234,0.16037750244140625,182,772,0
greedy,iq4pair-vulkan-n3-pmin01,512,2,271.3385651419063,12.775202804146806,,,,True,95.689208984375,23.775516510009766,0.9479560852050781,782,1453,0
greedy,iq4pair-vulkan-n3-pmin01,8192,2,307.46030184526415,12.53324011889534,,,,True,95.689208984375,23.775516510009766,0.9479560852050781,782,1453,0
greedy,iq4pair-vulkan-n3-pmin01,31497,2,256.8056201560745,11.95279869826043,,,,True,95.689208984375,23.775516510009766,0.9479560852050781,782,1453,0
greedy,prod-vulkan-iq4draft-n3-pmin01,512,2,279.4773873083466,12.941819813029609,,,,True,95.7090950012207,24.149921417236328,0.9866218566894531,151,232,0
greedy,prod-vulkan-iq4draft-n3-pmin01,8192,2,304.37914571784836,12.696062171751084,,,,True,95.7090950012207,24.149921417236328,0.9866218566894531,151,232,0
greedy,prod-vulkan-iq4draft-n3-pmin01,31497,2,256.61701546544225,12.128855843252278,,,,True,95.7090950012207,24.149921417236328,0.9866218566894531,151,232,0
greedy,prod-vulkan-iq4draft-n7-pmin01,512,2,277.9944796520734,12.89893876772061,,,,True,94.94561767578125,24.738414764404297,0.9866371154785156,397,583,0
greedy,prod-vulkan-iq4draft-n7-pmin01,8192,2,303.1104017885157,12.675668655023113,,,,True,94.94561767578125,24.738414764404297,0.9866371154785156,397,583,0
greedy,prod-vulkan-iq4draft-n7-pmin01,31497,2,255.2816274754108,12.093757785235244,,,,True,94.94561767578125,24.738414764404297,0.9866371154785156,397,583,0
greedy,prod-vulkan-q8-n3-pmin01,512,2,281.7401625828969,12.863634971417518,,,,True,94.73352432250977,25.098194122314453,0.9868087768554688,207,296,0
greedy,prod-vulkan-q8-n3-pmin01,8192,2,305.13871975934626,12.619184787190584,,,,True,94.73352432250977,25.098194122314453,0.9868087768554688,207,296,0
greedy,prod-vulkan-q8-n3-pmin01,31497,2,256.99580902967665,12.06526582463069,,,,True,94.73352432250977,25.098194122314453,0.9868087768554688,207,296,0
greedy,prod-vulkan-q8-n7,512,2,279.74806043758736,12.833159871034734,,,,True,93.07352447509766,25.69055938720703,0.9849853515625,2054,2470,0
greedy,prod-vulkan-q8-n7,8192,2,303.4252861324944,12.605842825834957,,,,True,93.07352447509766,25.69055938720703,0.9849853515625,2054,2470,0
greedy,prod-vulkan-q8-n7,31497,2,254.99581721339572,12.036136028927869,,,,True,93.07352447509766,25.69055938720703,0.9849853515625,2054,2470,0
greedy,prod-vulkan-q8-n7-pmin01,512,2,275.612476276791,12.837541858738845,,,,True,94.25708770751953,25.686687469482422,0.98681640625,8601,12532,0
greedy,prod-vulkan-q8-n7-pmin01,8192,2,306.57770389562484,12.598025962634026,,,,True,94.25708770751953,25.686687469482422,0.98681640625,8601,12532,0
greedy,prod-vulkan-q8-n7-pmin01,31497,2,256.5505214506864,12.033831214426177,,,,True,94.25708770751953,25.686687469482422,0.98681640625,8601,12532,0
seeded-stochastic,iq4pair-rocm-pretopk-pm4off-n3-pmin01,512,2,240.09619423598082,25.771308007447733,306,150,0.49019607843137253,True,93.02057266235352,24.95183563232422,0.16034698486328125,223,159,0
seeded-stochastic,iq4pair-rocm-pretopk-pm4off-n3-pmin01,8192,2,360.67014856402136,24.800228046239308,299,153,0.5117056856187291,True,93.02057266235352,24.95183563232422,0.16034698486328125,223,159,0
seeded-stochastic,iq4pair-rocm-pretopk-pm4off-n3-pmin01,31497,2,298.2745955598456,21.870586269368346,288,158,0.5486111111111112,True,93.02057266235352,24.95183563232422,0.16034698486328125,223,159,0
seeded-stochastic,iq4pair-rocm-topk-pm4off-n3-pmin01,512,2,240.68869760136775,26.006038561665143,303,151,0.49834983498349833,True,93.30928421020508,24.95203399658203,0.1603546142578125,94,100,0
seeded-stochastic,iq4pair-rocm-topk-pm4off-n3-pmin01,8192,2,361.9184893902089,25.640505139604127,288,156,0.5416666666666666,True,93.30928421020508,24.95203399658203,0.1603546142578125,94,100,0
