model,profile,context_depth_tokens,operation,operation_tokens,ubatch,vulkan_0_6_2_tokens_per_second,vulkan_0_6_4_tokens_per_second,vulkan_0_6_4_change_percent,v0_6_2_launches,v0_6_4_launches
qwen38,core,0,pp,2048,256,292.644236,319.49113,9.17390151501225,3,3
qwen38,core,0,pp,2048,2048,235.952733,259.587591,10.01677653803652,3,3
qwen38,core,0,tg,128,256,11.119513,11.174907,0.49816929932093856,3,3
qwen38,core,0,tg,128,2048,11.125783,11.173449,0.42842827331792677,3,3
qwen38,long32k,32768,pp,512,256,213.571223,220.18233800000002,3.0955083307267595,2,2
qwen38,long32k,32768,pp,512,2048,218.018412,225.077744,3.2379522147881534,2,2
qwen38,long32k,32768,tg,128,256,10.537316,10.5338675,-0.03272655010062575,2,2
qwen38,long32k,32768,tg,128,2048,10.542595,10.5413785,-0.011538904795260763,2,2
qwen3coder,core,0,pp,2048,256,1155.818248,1213.534588,4.993548085944388,3,3
qwen3coder,core,0,pp,2048,2048,1448.577836,1575.016045,8.728437358197993,3,3
qwen3coder,core,0,tg,128,256,89.785136,90.04701,0.2916674314554779,3,3
qwen3coder,core,0,tg,128,2048,89.895995,89.818638,-0.08605166448182322,3,3
qwen3coder,long32k,32768,pp,512,256,358.852118,363.5107915,1.2982154113968303,2,2
qwen3coder,long32k,32768,pp,512,2048,438.391836,445.3371895,1.5842798450288686,2,2
qwen3coder,long32k,32768,tg,128,256,50.0803445,50.28157,0.4018053430123736,2,2
qwen3coder,long32k,32768,tg,128,2048,50.314453,50.105191000000005,-0.4159083275733777,2,2
qwen3coder-next,core,0,pp,2048,256,665.434709,683.591055,2.72849398362236,3,3
qwen3coder-next,core,0,pp,2048,2048,581.62717,1002.139763,72.29933790747776,3,3
qwen3coder-next,core,0,tg,128,256,54.015961,54.02007,0.007607010824073335,3,3
qwen3coder-next,core,0,tg,128,2048,54.52562,54.153766,-0.6819803241118638,3,3
qwen3coder-next,long32k,32768,pp,512,256,458.613074,470.19796,2.526069721248292,2,2
qwen3coder-next,long32k,32768,pp,512,2048,537.1004365,550.1989524999999,2.438746109639389,2,2
qwen3coder-next,long32k,32768,tg,128,256,48.452839999999995,48.609566,0.32346091581010317,2,2
qwen3coder-next,long32k,32768,tg,128,2048,48.419956,48.168644,-0.5190256678465399,2,2
qwen3coder-next,confirmation,0,pp,2048,2048,591.188044,1034.5958455,75.00283640715845,2,2
