measurement,model,context_depth_tokens,operation,operation_tokens,ubatch,rocm_7_14,vulkan_0_6_4,unit,vulkan_change_percent,notes
synthetic,Qwen3.8-27B-Q4_K_M,0,pp,2048,256,366.873152,318.956598,tokens_per_second,-13.060,median_of_launch_means
synthetic,Qwen3.8-27B-Q4_K_M,0,tg,128,256,11.040119,11.172641,tokens_per_second,1.200,median_of_launch_means
synthetic,Qwen3.8-27B-Q4_K_M,32768,pp,512,256,215.003358,219.3710415,tokens_per_second,2.031,median_of_launch_means
synthetic,Qwen3.8-27B-Q4_K_M,32768,tg,128,256,9.564845,10.5356955,tokens_per_second,10.150,median_of_launch_means
synthetic,Qwen3-Coder-30B-A3B-Q4_K_M,0,pp,2048,256,863.727328,1212.976312,tokens_per_second,40.435,median_of_launch_means
synthetic,Qwen3-Coder-30B-A3B-Q4_K_M,0,tg,128,256,68.336993,90.016508,tokens_per_second,31.724,median_of_launch_means
synthetic,Qwen3-Coder-30B-A3B-Q4_K_M,32768,pp,512,2048,363.4460015,442.1505415,tokens_per_second,21.655,median_of_launch_means
synthetic,Qwen3-Coder-30B-A3B-Q4_K_M,32768,tg,128,2048,21.96263,50.070235,tokens_per_second,127.979,median_of_launch_means
synthetic,Qwen3-Coder-30B-A3B-Q4_K_M,0,pp,2048,2048,1720.924429,1587.055247,tokens_per_second,-7.779,ROCm_favoured_exception
synthetic,Qwen3-Coder-Next-80B-A3B-Q5_K_M,0,pp,2048,2048,699.1234705,997.9535865,tokens_per_second,42.744,median_of_launch_means
synthetic,Qwen3-Coder-Next-80B-A3B-Q5_K_M,0,tg,128,256,43.85976,54.164363,tokens_per_second,23.494,median_of_launch_means
served_mtp_code,Qwen3.8-27B-Q4_K_M,,generation,512,512,21.817090963633635,26.59959750800812,tokens_per_second,21.921,three_measured_requests_after_warmup
served_mtp_code,Qwen3.8-27B-Q4_K_M,,wall_time,512,512,23.73931987490505,19.45174834295176,seconds,-18.061,negative_is_faster
served_mtp_prose,Qwen3.8-27B-Q4_K_M,,generation,512,512,16.0533603665233,19.175193498716315,tokens_per_second,19.447,three_measured_requests_after_warmup
served_mtp_prose,Qwen3.8-27B-Q4_K_M,,wall_time,512,512,32.36817741300911,26.91742660989985,seconds,-16.840,negative_is_faster
served_mtp_json,Qwen3.8-27B-Q4_K_M,,generation,364,512,24.38766035305426,30.00030000300003,tokens_per_second,23.014,three_measured_requests_after_warmup
served_mtp_json,Qwen3.8-27B-Q4_K_M,,wall_time,364,512,15.189457202097401,12.351991247851402,seconds,-18.680,negative_is_faster
